name,index,value
jT,0,1.6133716015966648
jS,0,1.6533759674250343
jHa,0,1.7765433738175203
jHg,0,2.7929939407402148e-5
jHm,0,1.1487462082304671
jTs,0,1.2029700226698836
jSs,0,1.454145329669195
jIs,0,2.0528934717972676
tV,1,0.0
tV,2,0.0
tV,3,0.0
tV,4,0.0
tV,5,0.0
tV,6,0.0
tV,7,0.0
tV,8,0.0
tV,9,0.0
tV,10,-0.002155916450724627
tV,11,-0.012258605347532446
tV,12,-0.030660200310206824
tV,13,-0.0459069939656305
tV,14,-0.05898855762185351
tV,15,-0.07160992677142766
tV,16,-0.0867126838434624
tV,17,-0.09651694952722595
tV,18,-0.09800305746250644
tV,19,-0.09511679439539686
tV,20,-0.08845450204305753
tV,21,-0.07895048016564703
tV,22,-0.06863244913247135
tV,23,-0.06305136723966653
tV,24,-0.04497189177231413
tV,25,-0.012801522506091241
tV,26,0.029445098929501794
tV,27,0.09508874147783049
tV,28,0.1370279672069889
tV,29,0.17907148113143623
tV,30,0.2213852730035179
tV,31,0.26610941924976994
tV,32,0.3127053056419201
tV,33,0.3613787861197507
tV,34,0.40983245914259414
tV,35,0.45830040954019885
tV,36,0.48206971277820077
tV,37,0.5306391373673368
tV,38,0.5805542978459792
tV,39,0.6308560733981955
tV,40,0.6557472011641939
tV,41,0.703722465910812
tV,42,0.7264983960910387
tV,43,0.7709671406752947
tV,44,0.7914270209219691
tV,45,0.8262912561596091
tV,46,0.8403050581149634
tV,47,0.8521950503774063
tV,48,0.8661459771613118
tV,49,0.8678779619570302
tV,50,0.8656007379767503
tV,51,0.8519356883428268
tV,52,0.8437131764510197
tV,53,0.8342861240897795
tV,54,0.8235149564304253
tV,55,0.7970003716513602
tV,56,0.7778073435519876
tV,57,0.757018190468012
tV,58,0.7338268417554545
tV,59,0.7072724286437837
tV,60,0.640129694160955
tV,61,0.5978806269863938
tV,62,0.549088196692579
tV,63,0.49343216211072133
tV,64,0.4321224441101599
tV,65,0.3643005089541681
tV,66,0.2890992367897078
tV,67,0.2077919701465865
tV,68,0.031046906438507722
tV,69,-0.06322785835406419
tV,70,-0.16026358989492367
tV,71,-0.26093439664502405
tV,72,-0.3608951029195642
tV,73,-0.4599047643908522
tV,74,-0.558337621970465
tV,75,-0.6506270216925646
tV,76,-0.7348939415366333
tV,77,-0.8120289073142228
tV,78,-0.8766169629831303
tV,79,-0.9301958755796088
tV,80,-0.9697533065829695
tV,81,-0.9991361372133439
tV,82,-1.0138247206441775
tV,83,-1.022774090199923
tV,84,-1.0203544181983542
tV,85,-1.0158891779201422
tV,86,-0.9917698775090561
tV,87,-0.978533931457393
tV,88,-0.9491652272081761
tV,89,-0.8900719345265945
tV,90,-0.8021471269026675
tV,91,-0.6976902259766403
tV,92,-0.5739137054486763
tV,93,-0.4727976419674477
tV,94,-0.3983862868443942
tV,95,-0.2014359768389454
tV,96,-0.07941528640634367
tV,97,0.05548594649938157
tV,98,0.18285078691552703
tV,99,0.2901552342617701
tV,100,0.3700386117525708
tV,101,0.41397368438973764
tV,102,0.42341431651760997
tV,103,0.4069510282468342
tV,104,0.3698699720937815
tV,105,0.31797489565622983
tV,106,0.2591000605267906
tV,107,0.1909336567301842
tV,108,0.12539718897005905
tV,109,0.0667242180634845
tV,110,0.01161406169250285
tV,111,-0.0446033657581905
tV,112,-0.10105468953099457
tV,113,-0.23279198571131587
tV,114,-0.2957625123116318
tV,115,-0.35564893459993147
tV,116,-0.407909151968331
tV,117,-0.45579868633718235
tV,118,-0.49790640315694
tV,119,-0.5312335672024416
tV,120,-0.5598389316533051
tV,121,-0.612676102447336
tV,122,-0.6353854869502109
tV,123,-0.6535633418760579
tV,124,-0.6680291015169105
